feedback_id,patient_id,doctor_id,rating,comments
1,27,37,3,Dark order heart floor difficult kitchen girl watch.
2,83,32,4,Society read office world simple eye no western without garden return.
3,20,11,2,Strategy call ability ability seven south family among brother suffer back suddenly.
4,59,25,1,Over it security fine surface role difference good attention many smile.
5,78,24,5,Science phone blue free change account nearly show.
6,43,45,4,Accept suffer series society every news.
7,60,9,3,Relate natural game forward paper drop carry ten serious plant about.
8,98,35,1,Tax maintain site pick serious raise group knowledge trouble.
9,12,26,5,Around against plant meeting within hot mother true mind watch.
10,5,17,3,Financial federal authority could as old certainly wear couple he become argue anyone.
11,85,29,1,Follow maintain time together second power long art expect officer.
12,20,35,1,Left compare begin various item suffer.
13,19,8,5,Discussion discuss although bank once either reflect nor.
14,85,27,2,Recent born deal anyone ball unit bring against instead.
15,41,10,1,Stock open senior four tell receive without.
16,39,24,1,Like beat into blood enter reason effect must herself realize say realize arm.
17,43,4,4,Officer month meeting consumer room fast gun increase his marriage enough.
18,59,17,3,No the interesting offer trade with difference give protect.
19,87,20,3,Suggest this catch establish today hot game business eye my eight collection.
20,89,31,1,Chance approach family country fish song.
21,82,32,4,Reality force character far administration economic his pick.
22,96,21,1,Rule door lose source into what discuss behind either sort capital true machine day.
23,23,2,1,Road market fire thought hour future community.
24,97,9,2,Through begin management someone third card whatever name follow data population result approach.
25,50,35,3,Air teach within miss difficult hard field should.
26,8,15,4,Happen throw under head show democratic range different.
27,17,15,2,Behind create gun year high nothing weight system.
28,59,34,3,Word exactly enough perform rather affect enough but check list much into.
29,17,12,2,Today nearly husband political parent including billion science involve hard.
30,20,35,5,Local air late under natural federal former.
31,78,33,4,Himself relate allow special change maintain sort could other.
32,58,9,2,Section something face often your eat space short community few exactly edge street.
33,87,24,5,Most hair whatever research usually once threat same eat ask else up.
34,22,28,5,Relationship various find they red need half significant discussion help general.
35,78,28,4,Head seem want ready remain skin right record appear.
36,42,12,4,Address fine vote method important full determine man manage own since you.
37,44,41,3,Unit mind market center American stage occur this.
38,16,47,4,What fund right report responsibility half.
39,53,22,3,Tree police beautiful late stand maintain bad.
40,34,10,4,Interesting us admit her back market decision wear politics be feel.
41,45,14,2,Loss cultural very training walk campaign entire effort not.
42,40,22,5,Quality let within to important deal.
43,29,21,5,Ask mean half drive discussion especially against about surface seek road staff.
44,45,4,5,Arm cold investment interest form detail.
45,28,26,1,Work day remember she Democrat within culture company others use should.
46,94,2,2,But that process meeting standard show with whatever although marriage she.
47,1,12,4,Way study dinner possible dog because full team.
48,1,30,5,Phone wide college would family board enjoy benefit store draw Republican meet lot.
49,56,48,5,Yourself explain figure open north billion of national glass at kind.
50,43,30,1,Development top subject money set point.
51,72,11,1,Black simple cover race onto stand thus while population leg may catch.
52,74,7,4,Turn someone seven station computer try data for include beautiful start someone.
53,72,9,2,Method create medical scene hand animal worry particularly sit.
54,50,38,3,Attack join own some any early area kitchen suddenly face others.
55,68,24,1,Through system condition all its network.
56,13,2,3,Story couple image myself poor Republican gas act computer born health.
57,68,32,3,Step laugh beautiful never real outside join like enjoy push just stage.
58,7,31,5,Word decide find price sure north involve break provide.
59,17,36,1,Woman choose music let young speech institution.
60,26,8,5,Until war popular girl cold respond family.
61,85,15,1,Heart word citizen international six pass.
62,82,23,4,Man even anyone Mrs require yourself consumer sister subject let hold.
63,97,11,5,Begin music ten look fill central activity national discuss federal young find.
64,1,12,4,Cold exactly message less tree thus.
65,39,10,4,Action expect response now threat check black shoulder professor.
66,84,14,3,Save create record interesting politics third choice involve.
67,86,29,5,Often generation into enough young sit candidate book ready catch increase quickly leave.
68,10,23,3,City really professional owner both similar.
69,57,36,1,Whole local chance professional candidate under inside tough from able current.
70,32,4,4,Even either according go cell perhaps investment.
71,79,23,5,Him purpose become ahead plan attorney find project.
72,72,7,1,Pick throughout hand moment before suffer.
73,40,12,2,Conference natural mission put interesting political bit conference say sound her.
74,67,7,5,Author spring region first these blood manager magazine huge those Congress hospital least.
75,16,8,4,Should baby heart it tend return focus environmental.
76,15,10,5,Station employee watch majority resource provide.
77,95,29,2,Sister door imagine decide fill difference responsibility science present possible professional.
78,14,42,4,After simple reflect store alone father four.
79,57,14,3,When southern voice treatment simple smile foreign space class too throughout.
80,69,23,5,Attack take time central light interest left.
81,28,38,2,Crime agreement public protect since economic.
82,47,36,4,Type owner deep need ground base every produce sing.
83,45,41,1,To federal item Democrat south make industry tax story.
84,60,3,2,Purpose fear country get eat window future none draw word man become.
85,25,18,4,Decade according entire food material book.
86,11,8,4,Water share own writer teach pass thousand bank.
87,58,30,2,Property specific week phone decision scene shake ever public plan drop son career.
88,35,19,1,Thousand within pressure for seek one throughout ever.
89,80,32,1,Return sister each indicate each west upon with be director who both.
90,30,10,2,Dog by method leader brother rather try become fight receive traditional decision.
91,28,27,4,Quickly reason central least use top family already turn reason mention.
92,65,48,4,General talk crime somebody mention add pressure security mean interest executive.
93,61,35,3,Summer local improve while president seven spring rate rate.
94,72,9,2,Look save federal read say fish southern meet.
95,68,6,5,Strategy staff guy game exist Mr.
96,88,8,4,Fill station traditional message article team seem.
97,44,33,4,Miss leg event course official able government agreement often and.
98,9,47,2,Popular present military break information skin system.
99,51,25,2,Collection them perhaps thank newspaper wall.
100,8,38,4,Show total trade between find instead.
